Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
Quant Psu Fund Reg(G),Sandeep Tandon,Eq Them,849.9,2.32,Open Ended,20-02-2024,Nifty Pse Tri,-5.35,-17.21,-11.31,,,,,,50.27,27.23,3.86,Energy,,,,,,1.65,,,Large,,,,FALSE,,0,1,0,1,0,-11.29,
Quant Quantamental Fund Reg(G),Sandeep Tandon,Eq Them,2346,2,Open Ended,30-04-2021,Nifty 200 Tri,-3.1,-12.63,-10.26,13.97,25.68,26.42,,,83.18,1.9,11.26,Financials,6.1,0.6,0.89,1.09,19.22,4.47,20.2,0.14,Mega,6.98,High,1.37,FALSE,0.74,0,1,1,1,1,-8.66,26.42
Quant Small Cap Fund(G),Ankit Pande,Eq Sml,27160.8,1.6,Open Ended,16-10-1996,Nifty Smallcap 250 Tri,-3.24,-7.56,-2.67,22.72,33.65,25.71,45.15,20.41,23.84,4.36,62.86,Financials,14.19,0.98,1.38,0.98,19.56,29.02,28.5,0.07,Mega,14.2,High,1.31,TRUE,1.18,0,1,1,0,1,-4.49,30.42
Quant Teck Fund Reg(G),Sandeep Tandon,Eq Tech,442.1,2.4,Open Ended,11-09-2023,Nifty It Tri,0.55,-2.32,1.84,23.79,,,,,27.48,7.94,58.07,Technology,15.22,1.05,1.74,0.91,18.91,2.1,23.79,0.1,Mid,9.91,High,,TRUE,1.4,0,1,1,1,1,0.02,
Quant Value Fund Reg(G),Sandeep Tandon,Eq Val,1981.2,1.99,Open Ended,30-11-2021,Nifty 500 Tri,-2.57,-9.07,-5.15,23.95,30.28,25.56,,,51.85,2.83,35.6,Financials,15.04,0.98,1.42,1.14,21.3,3.88,24.76,0.08,Large,12.04,High,1.2,FALSE,1.2,0,1,1,1,1,-5.6,25.56
Quantum Dynamic Bond Fund Reg(G),Pankaj Pathak,Dt Dyn,110.8,0.96,Open Ended,19-05-2015,Crisil Dynamic Bond Index,0.41,0.34,3.89,9.1,8.1,6.86,6.64,,,,, ,1.29,2.13,3.69,1.2,2.28,10.42,7.53,0.11,Mid,9.48,Low,3.01,FALSE,2.91,0,0,0,0,1,1.55,6.75
Quantum Elss Tax Saver Fund Reg(G),George Thomas,Eq Elss,214.8,2,Open Ended,23-12-2008,Bse 500 Tri,-1.52,-5.1,1.25,21.28,24.4,18.57,18.37,12.35,61.8,8.53,13.23,Financials,12.27,1.33,2.1,0.81,12.29,16.82,17.64,0.09,Mid,10.64,Medium,1.51,TRUE,1.72,0,1,1,0,1,-1.79,16.43
Quantum Equity Fof Reg(G),Chirag Mehta,Fof Dom,128.1,0.75,Open Ended,20-07-2009,Bse 200 Tri,-0.66,-5.98,0.94,19.8,22.86,14.52,17.12,12.9,,,, ,8.59,1.11,1.63,2.28,13.7,16.25,16.08,0.04,Mid,26.4,Medium,1.06,FALSE,1.37,0,1,1,0,1,-1.9,14.85
Quantum Esg Best In Class Strategy Fund Reg(G),Chirag Mehta,Eq Them,90.2,2.1,Open Ended,12-07-2019,Nifty100 Esg Tri,-0.62,-7.08,3.2,15.64,20.87,12.1,17.83,,50.64,26.97,15.86,Financials,7.64,0.93,1.49,0.77,12.39,6.27,15.19,0.13,Small,7.45,Medium,0.98,TRUE,1.21,0,1,1,0,1,-1.5,14.96
Quantum Ethical Fund Reg(G),Chirag Mehta,Eq Them,,,Open Ended,20-12-2024,Nifty500 Shariah Tri,,,,,,,,,,,, ,,,,,,0.82,,,,,,,FALSE,,0,0,0,1,0,,
Quantum Gold Fund Etf,Chirag Mehta,Gold Etf,239.7,0.78,Open Ended,22-02-2008,Gold India,-0.24,1.29,6.32,19.73,16.54,15.62,13.23,9.92,,,, ,14.24,1.16,1.8,0.25,12.9,17.66,14.62,0.04,Mid,25.29,Medium,1.21,TRUE,1.48,0,1,1,0,1,2.46,12.92
Quantum Gold Saving Fund Reg(G),Chirag Mehta,Gold Mf,143.1,0.21,Open Ended,19-05-2011,Gold India,0.08,1.09,6.2,19.88,16.74,15.71,13.21,9.66,,,, ,13.91,1.17,1.94,0.37,12.76,14.42,14.62,0.01,Mid,94.67,Medium,1.23,TRUE,1.56,0,1,1,0,1,2.46,12.86
Quantum Liquid Fund Reg(G),Pankaj Pathak,Dt Liq,504,0.25,Open Ended,07-04-2006,Crisil Liquid Debt Index,0.57,1.67,3.39,7.01,6.88,6.12,4.99,5.81,,,, ,0.53,9.57,3.94,,0.06,19.54,5.98,0.04,Large,28.04,Low,102,FALSE,6.76,0,0,0,0,1,1.88,5.64
Quantum Long Term Equity Value Fund Reg(G),George Thomas,Eq Val,1189.4,2,Open Ended,13-03-2006,Bse 500 Tri,-1.56,-5.09,1.32,21.63,24.66,18.51,18.31,12.39,63.46,8.59,12.63,Financials,12.57,1.35,2.13,0.82,12.41,19.61,17.71,0.09,Large,10.82,Medium,1.49,TRUE,1.74,0,1,1,0,1,-1.78,16.4
Quantum Multi Asset Allocation Fund Reg(G),Chirag Mehta,Hy Multi,29.6,1.97,Open Ended,07-03-2024,Crisil Short Term Bond Index,-0.65,-2.97,1.6,,,,,,32.67,1.95,3.12,Financials,,,,,,1.61,,,Small,,,,FALSE,,0,0,0,1,0,-0.67,
Quantum Multi Asset Fofs Reg(G),Chirag Mehta,Fof Dom,59.9,0.47,Open Ended,11-07-2012,Nifty 50 Tri,-0.25,-1.96,2.7,11.94,12.96,10.8,10.51,8.94,,,, ,5.47,1.49,2.54,0.68,4.99,13.27,10.55,0.04,Small,25.4,Low,2.16,TRUE,2.02,0,0,0,0,1,0.16,10.08
Quantum Nifty 50 Etf Fof Reg(G),Hitendra Parekh,Fof Dom,24,0.18,Open Ended,05-08-2022,Nifty 50 Tri,-1.7,-7.88,-1.32,10.18,16.12,,,,,,, ,4.31,0.53,0.87,0.72,12.19,3.2,10.18,0.02,Small,56.56,Medium,,TRUE,0.7,0,1,0,1,1,-3.63,
Quantum Small Cap Fund Reg(G),Chirag Mehta,Eq Sml,99.4,2.1,Open Ended,03-11-2023,Bse 250 Small Cap Tri,-1.05,-2.7,3.21,15.92,,,,,11.43,4.1,67.59,Financials,8.85,0.94,1.44,0.63,12.81,1.95,15.92,0.13,Small,7.58,Medium,,TRUE,1.19,0,1,1,1,1,-0.18,
Samco Active Momentum Fund Reg(G),Paras Matalia,Eq Them,874,2.24,Open Ended,05-07-2023,Nifty 500 Tri,4.64,3.12,8.44,26.73,,,,,31.38,21.41,40,Healthcare,18.02,1.25,1.77,0.89,18.03,2.28,26.73,0.08,Large,11.93,High,,TRUE,1.51,0,1,1,1,1,5.4,
Samco Arbitrage Fund Reg(G),Umeshkumar Mehta,Hy Arb,16.9,1.14,Open Ended,29-11-2024,Nifty 50 Arbitrage Tri,0.5,,,,,,,,56.43,9.14,,Energy,,,,,,0.88,,,Small,,,,FALSE,,0,0,0,1,0,0.5,
Samco Dynamic Asset Allocation Fund Reg(G),Umeshkumar Mehta,Hy Dyn,604.7,2.34,Open Ended,28-12-2023,Nifty 50 Hybrid Composite Debt 50 - 50 Index,2.14,-5.19,0.09,9.7,,,,,47.17,19.49,19.44,Automobile And Ancillaries,-1.66,0.46,0.61,2.56,13.88,1.8,9.7,0.24,Large,4.15,Medium,,FALSE,0.54,0,0,0,1,0,-0.99,
Samco Elss Tax Saver Fund Reg(G),Nirali Bhansali,Eq Elss,121.8,2.38,Open Ended,22-12-2022,Nifty 500 Tri,0.89,-2,-0.81,9.55,21.36,,,,3.64,44.72,51.38,Financials,2.44,0.39,0.58,0.84,17.06,2.82,9.55,0.25,Mid,4.01,High,,TRUE,0.48,0,1,0,1,0,-0.64,
Samco Flexi Cap Fund Reg(G),Nirali Bhansali,Eq Flex,601.7,2.38,Open Ended,04-02-2022,Nifty 500 Tri,2.33,-2,-0.57,5.41,15.34,,,,30.86,39.72,29.51,Technology,-1.84,0.15,0.22,0.88,17.55,3.7,5.41,0.44,Large,2.27,High,,FALSE,0.18,0,0,0,1,0,-0.08,
Samco Multi Asset Allocation Fund Reg(G),Nirali Bhansali,Hy Multi,,2.24,Open Ended,24-12-2024,Nifty 50 Tri,,,,,,,,,,,, ,,,,,,0.81,,,,,,,FALSE,,0,0,0,1,0,,
Samco Multi Cap Fund Reg(G),Umeshkumar Mehta,Eq Mlc,354.1,2.38,Open Ended,30-10-2024,Nifty500 Multicap 50 - 25 - 25 Tri,-0.72,,,,,,,,26.5,15.31,44.13,Automobile And Ancillaries,,,,,,0.96,,,Mid,,,,FALSE,,0,0,0,1,0,-0.72,
Samco Overnight Fund Reg(G),Dhawal Ghanshyam Dhanani,Dt On,61.1,0.33,Open Ended,12-10-2022,Crisil Liquid Overnight Index,0.52,1.54,3.07,6.3,6.34,,,,,,, ,0.08,4.18,0.51,,0.02,3.01,6.3,0.05,Small,19.09,Low,,FALSE,2.34,0,0,0,1,1,1.71,
Samco Special Opportunities Fund Reg(G),Paras Matalia,Eq Them,193.2,2.39,Open Ended,06-06-2024,Nifty 500 Tri,0.94,-5.77,-6.5,,,,,,2.1,16.9,58.16,Financials,,,,,,1.36,,,Mid,,,,FALSE,,0,0,0,1,0,-3.78,
Sbi Arbitrage Opportunities Fund Reg(G),Neeraj Kumar,Hy Arb,31422.1,0.95,Open Ended,03-11-2006,Nifty 50 Arbitrage,0.66,1.84,3.46,7.51,7.49,6.52,5.38,5.82,55.18,14.85,2.14,Financials,3.45,3.22,7.45,-0.07,1.01,18.96,6.31,0.13,Mega,7.91,Low,6.46,TRUE,5.34,0,0,0,0,1,1.99,5.91
Sbi Automotive Opportunities Fund Reg(G),Tanmaya Desai,Eq Auto,5934.6,1.83,Open Ended,05-06-2024,Nifty Auto Tri,-1.82,-15.18,-9.36,,,,,,59.98,15.68,22.36,Automobile And Ancillaries,,,,,,1.36,,,Mega,,,,FALSE,,0,1,0,1,0,-8.79,
Sbi Balanced Advantage Fund Reg(G),Dinesh Balachandran,Hy Dyn,33186.8,1.57,Open Ended,31-08-2021,Nifty 50 Hybrid Composite Debt 50 - 50 Index,-0.29,-2.2,1.57,13.33,16.88,12.82,,,53.24,8.73,3.81,Energy,5.82,1.47,2.15,1.07,6.07,4.13,13.08,0.12,Mega,8.49,Medium,2.11,FALSE,1.81,0,0,0,1,1,-0.31,12.82
Sbi Banking & Financial Services Fund Reg(G),Milind Agrawal,Eq Fin,6548.4,1.81,Open Ended,26-02-2015,Nifty Financial Services Tri,-1.34,-2.21,2.23,19.75,19.67,17.79,13.83,,55.13,17.32,15.02,Financials,10.66,0.95,1.37,1.04,16.59,10.64,17.12,0.09,Mega,10.91,High,1.07,FALSE,1.16,0,1,1,0,1,-0.44,15.81
Sbi Banking And Psu Fund Reg(G),Rajeev Radhakrishnan,Dt B&Psu,3810.2,0.81,Open Ended,09-10-2009,Nifty Banking And Psu Debt Index,0.5,1.34,3.88,7.63,7.09,5.66,5.94,7.03,,,, ,2.29,4.25,8.21,0.4,0.81,16.03,6.56,0.11,Mega,9.42,Low,6.99,TRUE,6.23,0,0,0,0,1,1.91,6.21
Sbi Bluechip Fund Reg(G),Saurabh Pant,Eq Lc,50502.3,1.5,Open Ended,20-01-2006,Bse 100 Tri,-1.46,-7.12,-0.2,13.05,18.44,13.68,16.38,12.81,79.17,14.11,2.08,Financials,4.66,0.73,1.11,0.84,12.17,19.75,13.98,0.11,Mega,8.7,Medium,1.12,TRUE,0.92,0,1,1,0,1,-2.93,14.29
Sbi Bse 100 Etf,Raviprakash Sharma,Eq Etf,9.3,0.14,Open Ended,20-03-2015,Bse 100 Tri,-1.49,-7.81,-1.05,13.48,18.96,14.58,16.97,,92.33,7.64,,Financials,5.12,0.68,1.03,1,14.14,10.58,15.01,0.01,Small,96.29,Medium,1.03,FALSE,0.86,0,1,1,0,1,-3.45,15.77
Sbi Bse Sensex Etf,Raviprakash Sharma,Eq Etf,120613.6,0.04,Open Ended,15-03-2013,Bse Sensex Tri,-1.64,-6.69,-0.81,9.84,15.67,12.44,15.23,12.46,99.26,0.72,,Financials,1.76,0.46,0.7,0.99,13.76,12.6,12.49,0,Mega,246,Medium,0.9,TRUE,0.58,0,1,0,0,1,-3.05,13.38
Sbi Bse Sensex Index Fund Reg(G),Raviprakash Sharma,Eq Indx,241.8,0.44,Open Ended,26-05-2023,Bse Sensex Tri,-1.68,-6.8,-1.03,9.35,,,,,99.2,0.72,,Financials,0.93,0.42,0.65,1,13.82,2.39,9.35,0.05,Mid,21.25,Medium,,FALSE,0.54,0,1,0,1,1,-3.17,
Sbi Bse Sensex Next 50 Etf,Raviprakash Sharma,Eq Etf,19.8,0.12,Open Ended,25-09-2018,Bse Sensex Next 50 Tri,-0.64,-7.84,-0.66,26.47,31.2,21.91,22.2,,66.01,33.87,,Financials,16.71,1.21,1.86,0.99,17.51,7.06,23.53,0,Small,220.58,High,1.25,TRUE,1.54,0,1,1,0,1,-3.05,22.06
Sbi Conservative Hybrid Fund Reg(G),Saurabh Pant,Hy Dt(Co),10045.8,1.12,Open Ended,23-03-2001,Nifty 50 Hybrid Composite Debt 15 - 85 Index,0.03,-0.93,2.53,11.03,11.66,9.28,11.01,9.15,7.55,2.75,12.36,Financials,4.28,1.85,2.77,0.84,3.64,24.58,10.12,0.1,Mega,9.85,Low,2.55,TRUE,2.31,0,0,0,0,1,0.54,9.81
Sbi Consumption Opp Fund Reg(G),Ashit Desai,Eq Cons,3074,1.97,Open Ended,01-01-2013,Nifty India Consumption Tri,0.58,-6.73,6.5,23.99,27.78,22.93,23.35,16.45,31.23,24.62,41.45,Fmcg,15.37,1.5,2.47,0.58,12.16,12.8,21.68,0.08,Mega,12.18,Medium,1.89,TRUE,1.98,0,1,1,0,1,0.12,20.91
Sbi Contra Fund Reg(G),Dinesh Balachandran,Eq Val,41906.9,1.5,Open Ended,05-07-1999,Bse 500 Tri,-1.16,-6.55,-0.5,18.75,28.22,22.88,29.37,15.97,48.55,15.82,13.54,Financials,10.21,1.04,1.48,0.87,13.93,26.3,21.74,0.08,Mega,12.5,Medium,1.64,TRUE,1.26,0,1,1,0,1,-2.74,22.74
Sbi Corp Bond Fund Reg(G),Rajeev Radhakrishnan,Dt Corp,20915.6,0.8,Open Ended,01-02-2019,Nifty Corporate Bond Index,0.48,1.45,4.06,7.85,7.23,5.91,6.18,,,,, ,2.62,4.99,9.22,0.36,0.74,6.71,6.65,0.1,Mega,9.81,Low,7.99,TRUE,7.1,0,0,0,0,1,2,6.04
Sbi Cpse Bond Plus Sdl Sep 2026 50 - 50 Index Fund Reg(G),Ranjana Gupta,Dt Md,9366,0.37,Open Ended,19-01-2022,Nifty Cpse Bond Plus Sdl Sep 2026 50 - 50 Index,0.54,1.59,3.78,7.71,7.24,,,,,,, ,3.02,6.78,15.85,0.17,0.52,3.74,7.71,0.05,Mega,20.84,Low,,TRUE,11.32,0,0,0,1,1,1.97,
Sbi Credit Risk Fund Reg(G),Lokesh Mallya,Dt Cr,2289.2,1.55,Open Ended,14-07-2004,Nifty Credit Risk Bond Index,0.58,1.78,3.84,8.04,8.16,6.85,7.02,7.48,,,, ,3.35,4.18,8.44,0.18,0.92,21.27,7.35,0.19,Mega,5.19,Low,7.45,TRUE,6.31,0,0,0,0,1,2.07,7.12
Sbi Crisil Ibx Gilt Index Apr 2029 Fund Reg(G),Ranjana Gupta,Dt M&Ld,2278.8,0.45,Open Ended,04-10-2022,Crisil Ibx Gilt Index April 2029,0.4,1.24,4.24,8.24,7.99,,,,,,, ,2.24,3.14,5.61,0.6,1.28,3.04,8.24,0.05,Mega,18.31,Low,,TRUE,4.38,0,0,0,1,1,1.96,
Sbi Crisil Ibx Gilt Index June 2036 Fund Reg(G),Ranjana Gupta,Dt Ld,2432.5,0.54,Open Ended,04-10-2022,Crisil Ibx Gilt Index June 2036,0.45,0.86,4.53,10.31,8.99,,,,,,, ,1.92,2.26,3.8,1.32,2.57,3.04,10.31,0.05,Mega,19.09,Low,,FALSE,3.03,0,0,0,1,1,1.95,
Sbi Crisil Ibx Sdl Index Sep 2027 Fund Reg(G),Ranjana Gupta,Dt M&Ld,1103.8,0.4,Open Ended,04-10-2022,Crisil Ibx Sdl Index September 2027,0.56,1.46,3.91,8.37,7.6,,,,,,, ,3.12,4.32,9.19,0.31,0.93,3.04,8.37,0.05,Large,20.92,Low,,TRUE,6.76,0,0,0,1,1,1.98,
Sbi Dividend Yield Fund Reg(G),Rohit Shimpi,Eq Div,9555.9,1.78,Open Ended,14-03-2023,Nifty 500 Tri,-3.04,-8.41,-2.71,14.89,,,,,65.3,16.45,8.29,Financials,6.53,0.81,1.2,0.88,13.53,2.59,14.89,0.12,Mega,8.37,Medium,,TRUE,1,0,1,1,1,1,-4.72,
Sbi Dynamic Bond Fund Reg(G),Rajeev Radhakrishnan,Dt Dyn,3309.3,1.45,Open Ended,13-01-2004,Crisil Dynamic Bond Index,0.33,0.17,3.74,8.62,7.77,6.56,6.33,7.44,,,, ,0.81,1.95,3.3,1.18,2.19,21.77,7.24,0.17,Mega,5.94,Low,3,FALSE,2.62,0,0,0,0,1,1.41,6.78
Sbi Energy Opportunities Fund Reg(G),Raj Gandhi,Eq Power,10486,1.74,Open Ended,26-02-2024,Nifty Energy Tri,0.24,-13.08,-7.67,,,,,,58.6,19.31,18.41,Energy,,,,,,1.64,,,Mega,,,,FALSE,,0,1,0,1,0,-6.84,
Sbi Equity Hybrid Fund Reg(G),R. Srinivasan,Hy Eq,72428.4,1.4,Open Ended,06-01-1996,Crisil Hybrid 35+65 Aggressive Index,-0.43,-3.87,1.16,14.62,15.8,11.19,13.78,11.76,50.99,18.56,3.43,Financials,5.04,1.02,1.53,1.72,9.82,29.8,12.84,0.1,Mega,10.44,Medium,1.14,FALSE,1.27,0,1,0,0,1,-1.05,12.24
Sbi Equity Minimum Variance Fund Reg(G),Raviprakash Sharma,Eq Them,216.7,0.74,Open Ended,19-03-2019,Nifty 50 Tri,-0.92,-12.48,-2.12,7.99,18.51,14.29,17.93,,93.64,6.34,,Fmcg,1.08,0.39,0.66,0.71,11.88,6.58,13.4,0.09,Mid,10.8,Medium,1.2,TRUE,0.52,0,1,0,0,1,-5.17,16.11
Sbi Equity Savings Fund Reg(G),Neeraj Kumar,Hy Eq,5982.4,1.42,Open Ended,27-05-2015,Nifty 50 Equity Savings Index,0.28,0.16,3.37,11.98,14.75,10.3,11.2,,38.57,8.09,18.92,Financials,5.95,1.54,2.32,0.55,4.9,10.4,11.16,0.12,Mega,8.44,Low,2.1,TRUE,1.93,0,0,0,0,1,1.27,10.75
Sbi Esg Exclusionary Strategy Fund Reg(G),Rohit Shimpi,Eq Them,5806.1,1.93,Open Ended,01-01-1991,Nifty100 Esg Tri,-2.31,-6.77,-2.07,12.88,18.43,11.09,15.2,12.3,77.25,13.48,5.54,Financials,4.33,0.67,1.01,0.89,13.04,34.81,12.87,0.15,Mega,6.67,Medium,0.85,TRUE,0.84,0,1,0,0,1,-3.72,12.86
Sbi Flexicap Fund Reg(G),Dinesh Balachandran,Eq Flex,22206.1,1.66,Open Ended,16-09-2005,Bse 500 Tri,0.07,-5.68,0.42,14.8,18.73,12.41,16.08,13.35,48.41,20.08,21.2,Financials,6.58,0.83,1.22,0.84,12.85,20.1,14.16,0.11,Mega,8.92,Medium,0.97,TRUE,1.02,0,1,1,0,1,-1.73,13.95
Sbi Floating Rate Debt Fund Reg(G),Ardhendu Bhattacharya,Dt Fl,1189.5,0.46,Open Ended,27-10-2020,Nifty Short Duration Debt Index,0.42,1.56,3.88,8.16,7.83,6.66,,,,,, ,3.58,6.85,15.59,0.14,0.58,4.97,7.41,0.06,Large,17.74,Low,11.48,TRUE,11.22,0,0,0,1,1,1.95,6.66
Sbi Fmp 1 3668D Reg(G),Ranjana Gupta,Dt Fmp,46.5,,Closed Ended,28-03-2019,Crisil Long Term Debt Index,0.3,1.31,4.42,9.03,8.24,6.58,6.98,,,,, ,1.11,1.89,3.08,0.29,0.91,6.56,7.53,,Small,,Low,7.23,TRUE,2.48,0,0,0,0,0,2.01,6.78
Sbi Fmp 34 3682D Reg(G),Ranjana Gupta,Dt Fmp,26.6,,Closed Ended,05-05-2020,Crisil Long Term Debt Index,0.59,1.3,4.41,9.18,8.17,6.38,,,,,, ,0.96,1.7,2.99,0.41,1.09,5.45,7.78,,Small,,Low,5.85,TRUE,2.35,0,0,0,0,0,2.1,6.38
Sbi Fmp 41 1498D Reg(G),Ranjana Gupta,Dt Fmp,891.7,,Closed Ended,25-03-2021,Crisil Medium Duration Debt Index,0.53,1.6,3.48,7.35,7.18,5.42,,,,,, ,0.71,5.15,5.54,0.02,0.14,4.56,6.38,,Large,,Low,38.71,TRUE,5.35,0,0,0,1,0,1.87,5.42
Sbi Fmp 42 1857D Reg(G),Ranjana Gupta,Dt Fmp,462.6,,Closed Ended,30-03-2021,Crisil Medium To Long Term Debt Index,0.53,1.58,3.78,7.75,7.4,5.64,,,,,, ,0.78,2.7,4.78,0.1,0.37,4.55,6.7,,Mid,,Low,15.24,TRUE,3.74,0,0,0,1,0,1.96,5.64
Sbi Fmp 43 1616D Reg(G),Ranjana Gupta,Dt Fmp,115.4,,Closed Ended,29-04-2021,Crisil Medium Duration Debt Index,0.5,1.5,3.59,7.57,7.3,5.65,,,,,, ,0.76,3.35,5.33,0.05,0.26,4.47,6.61,,Mid,,Low,21.73,TRUE,4.34,0,0,0,1,0,1.86,5.65
Sbi Fmp 44 1855D Reg(G),Ranjana Gupta,Dt Fmp,372.5,,Closed Ended,02-06-2021,Crisil Medium To Long Term Debt Index,0.53,1.58,3.88,7.93,7.47,5.72,,,,,, ,0.83,2.51,4.52,0.12,0.43,4.38,6.82,,Mid,,Low,13.3,TRUE,3.51,0,0,0,1,0,2,5.72
Sbi Fmp 45 1840D Reg(G),Ranjana Gupta,Dt Fmp,218.6,,Closed Ended,17-06-2021,Crisil Medium To Long Term Debt Index,0.52,1.58,3.86,7.93,7.49,5.77,,,,,, ,0.86,2.62,4.7,0.11,0.42,4.33,6.85,,Mid,,Low,13.74,TRUE,3.66,0,0,0,1,0,1.99,5.77
Sbi Fmp 46 1850D Reg(G),Ranjana Gupta,Dt Fmp,127.4,,Closed Ended,07-07-2021,Crisil Medium To Long Term Debt Index,0.5,1.52,3.8,7.87,7.34,5.66,,,,,, ,0.78,2.57,4.54,0.12,0.41,4.28,6.76,,Mid,,Low,13.8,TRUE,3.56,0,0,0,1,0,1.94,5.66
Sbi Fmp 47 1434D Reg(G),Ranjana Gupta,Dt Fmp,139.6,,Closed Ended,23-07-2021,Crisil Medium Duration Debt Index,0.53,1.57,3.56,7.52,7.26,5.52,,,,,, ,0.78,3.86,5.52,0.03,0.22,4.24,6.52,,Mid,,Low,25.09,TRUE,4.69,0,0,0,1,0,1.89,5.52
Sbi Fmp 48 1458D Reg(G),Ranjana Gupta,Dt Fmp,45.1,,Closed Ended,04-08-2021,Crisil Medium Duration Debt Index,0.51,1.52,3.58,7.5,7.25,5.61,,,,,, ,0.76,3.78,5.56,0.04,0.22,4.2,6.56,,Small,,Low,25.5,TRUE,4.67,0,0,0,1,0,1.87,5.61
Sbi Fmp 50 1843D Reg(G),Ranjana Gupta,Dt Fmp,117.7,,Closed Ended,07-09-2021,Crisil Medium To Long Term Debt Index,0.53,1.55,3.87,7.98,7.49,5.6,,,,,, ,0.81,2.61,4.56,0.15,0.43,4.11,6.79,,Mid,,Low,13.02,TRUE,3.58,0,0,0,1,0,1.98,5.6
Sbi Fmp 51 1846D Reg(G),Ranjana Gupta,Dt Fmp,288.8,,Closed Ended,16-09-2021,Crisil Medium To Long Term Debt Index,0.54,1.56,3.9,8.08,7.55,5.71,,,,,, ,0.88,2.72,4.81,0.15,0.44,4.08,6.9,,Mid,,Low,12.98,TRUE,3.76,0,0,0,1,0,2,5.71
Sbi Fmp 52 1848D Reg(G),Ranjana Gupta,Dt Fmp,132.6,,Closed Ended,28-09-2021,Crisil Medium To Long Term Debt Index,0.53,1.57,3.89,8.09,7.54,5.81,,,,,, ,0.91,2.7,4.72,0.13,0.44,4.05,6.95,,Mid,,Low,13.2,TRUE,3.71,0,0,0,1,0,2,5.81
Sbi Fmp 53 1839D Reg(G),Ranjana Gupta,Dt Fmp,298.7,,Closed Ended,25-10-2021,Crisil Medium To Long Term Debt Index,0.51,1.54,3.92,8.18,7.57,5.82,,,,,, ,0.93,2.64,4.71,0.15,0.47,3.98,7,,Mid,,Low,12.38,TRUE,3.68,0,0,0,1,0,1.99,5.82
Sbi Fmp 54 1842D Reg(G),Ranjana Gupta,Dt Fmp,36.4,,Closed Ended,08-11-2021,Crisil Medium To Long Term Debt Index,0.51,1.51,3.88,8.2,7.57,5.81,,,,,, ,0.96,2.53,4.54,0.14,0.5,3.94,7,,Small,,Low,11.62,TRUE,3.54,0,0,0,1,0,1.97,5.81
Sbi Fmp 55 1849D Reg(G),Ranjana Gupta,Dt Fmp,245.4,,Closed Ended,23-11-2021,Crisil Medium To Long Term Debt Index,0.52,1.53,3.91,8.18,7.54,5.79,,,,,, ,0.93,2.49,4.43,0.15,0.5,3.9,6.98,,Mid,,Low,11.58,TRUE,3.46,0,0,0,1,0,1.99,5.79
Sbi Fmp 56 1232D Reg(G),Ranjana Gupta,Dt Fmp,279.8,,Closed Ended,16-12-2021,Crisil Medium Duration Debt Index,0.53,1.58,3.56,7.45,7.25,5.56,,,,,, ,0.76,4.58,5.71,0.02,0.17,3.84,6.5,,Mid,,Low,32.71,TRUE,5.14,0,0,0,1,0,1.89,5.56
Sbi Fmp 57 1835D Reg(G),Ranjana Gupta,Dt Fmp,248.3,,Closed Ended,13-12-2021,Crisil Medium To Long Term Debt Index,0.52,1.53,3.95,8.17,7.59,5.68,,,,,, ,0.86,2.52,4.49,0.17,0.49,3.84,6.92,,Mid,,Low,11.59,TRUE,3.5,0,0,0,1,0,2,5.68
Sbi Fmp 58 1842D Reg(G),Ranjana Gupta,Dt Fmp,242.5,,Closed Ended,05-01-2022,Crisil Medium To Long Term Debt Index,0.55,1.54,3.93,8.26,7.59,,,,,,, ,0.88,2.46,4.26,0.17,0.51,3.78,8.26,,Mid,,Low,,TRUE,3.36,0,0,0,1,0,2.01,
Sbi Fmp 59 1618D Reg(G),Ranjana Gupta,Dt Fmp,27,,Closed Ended,31-01-2022,Crisil Medium To Long Term Debt Index,0.56,1.59,3.83,7.63,7.38,,,,,,, ,0.55,1.8,3.06,0.16,0.5,3.71,7.63,,Small,,Low,,TRUE,2.43,0,0,0,1,0,1.99,
Sbi Fmp 6 3668D Reg(G),Ranjana Gupta,Dt Fmp,33.6,,Closed Ended,16-05-2019,Crisil Long Term Debt Index,0.31,1.27,4.31,8.78,8.01,6.31,6.74,,,,, ,0.96,1.74,2.82,0.28,0.9,6.42,7.28,,Small,,Low,7.01,TRUE,2.28,0,0,0,0,0,1.96,6.52
Sbi Fmp 60 1878D Reg(G),Ranjana Gupta,Dt Fmp,239,,Closed Ended,15-02-2022,Crisil Medium To Long Term Debt Index,0.54,1.56,4.01,8.36,7.69,,,,,,, ,0.91,2.49,4.37,0.19,0.53,3.67,8.36,,Mid,,Low,,TRUE,3.43,0,0,0,1,0,2.04,
